Métrica,SVM Básico (Treino),SVM Básico (Teste),SVM Otimizado (Treino),SVM Otimizado (Teste)
Acurácia,0.8314176245210728,0.7653846153846153,0.9449233716475096,0.8284615384615385
Precisão,0.7954739538855679,0.4475374732334047,0.9136242208370436,0.5486725663716814
Recall,0.8922413793103449,0.81640625,0.9827586206896551,0.7265625
F1-Score,0.8410835214446952,0.5781466113416321,0.946931241347485,0.6252100840336134
AUC-ROC,0.911759526476784,0.8646001706178161,0.9815645712225306,0.8744106950431035
